dateISO,price
2009-01-01,2.4038954
2009-02-01,2.42598
2009-03-01,2.435965
2009-04-01,2.4467244
2009-05-01,2.4625726
2009-06-01,2.4626155
2009-07-01,2.466313
2009-08-01,2.4678445
2009-09-01,2.4656045
2009-10-01,2.4714952
2009-11-01,2.47666
2009-12-01,2.4765444
2010-01-01,2.486563
2010-02-01,2.5223663
2010-03-01,2.5397053
2010-04-01,2.5650492
2010-05-01,2.5734713
2010-06-01,2.5759962
2010-07-01,2.5749512
2010-08-01,2.5756667
2010-09-01,2.5665107
2010-10-01,2.5676877
2010-11-01,2.5812047
2010-12-01,2.5942178
2011-01-01,2.6372144
2011-02-01,2.6477895
2011-03-01,2.6544423
2011-04-01,2.7026682
2011-05-01,2.7090926
2011-06-01,2.7124555
2011-07-01,2.7159119
2011-08-01,2.7219958
2011-09-01,2.7248433
2011-10-01,2.729127
2011-11-01,2.7340674
2011-12-01,2.7404256
2012-01-01,2.7405803
2012-02-01,2.7536454
2012-03-01,2.7739258
2012-04-01,2.7988646
2012-05-01,2.810157
2012-06-01,2.8166473
2012-07-01,2.8149612
2012-08-01,2.8184404
2012-09-01,2.817899
2012-10-01,2.8208413
2012-11-01,2.839565
2012-12-01,2.844385
2013-01-01,2.8425596
2013-02-01,2.8532054
2013-03-01,2.8651485
2013-04-01,2.890559
2013-05-01,2.8849301
2013-06-01,2.8839684
2013-07-01,2.8972104
2013-08-01,2.8896303
2013-09-01,2.8888803
2013-10-01,2.8892717
2013-11-01,2.8962874
2013-12-01,2.897465
2014-01-01,2.899818
2014-02-01,2.892857
2014-03-01,2.8968604
2014-04-01,2.898575
2014-05-01,2.9045951
2014-06-01,2.918282
2014-07-01,2.9185421
2014-08-01,2.9261167
2014-09-01,2.926345
2014-10-01,2.943537
2014-11-01,2.9404824
2014-12-01,2.9425063
2015-01-01,2.935153
2015-02-01,2.9617553
2015-03-01,2.9578044
2015-04-01,2.9410262
2015-05-01,2.9557812
2015-06-01,2.9652727
2015-07-01,2.970285
2015-08-01,2.9644163
2015-09-01,2.9670992
2015-10-01,2.9700258
2015-11-01,2.9713812
2015-12-01,2.984631
2016-01-01,2.9868975
2016-02-01,2.997116
2016-03-01,3.015356
2016-04-01,3.027323
2016-05-01,3.0253646
2016-06-01,3.0328124
2016-07-01,3.0451546
2016-08-01,3.0383897
2016-09-01,3.048513
2016-10-01,3.0531025
2016-11-01,3.0558946
2016-12-01,3.0444183
2017-01-01,3.0507534
2017-02-01,3.0643616
2017-03-01,3.0776987
2017-04-01,3.0924864
2017-05-01,3.1115177
2017-06-01,3.1163614
2017-07-01,3.1156955
2017-08-01,3.1229472
2017-09-01,3.1054523
2017-10-01,3.1110053
2017-11-01,3.112381
2017-12-01,3.1185865
2018-01-01,3.1195989
2018-02-01,3.106489
2018-03-01,3.114
2018-04-01,3.1442466
2018-05-01,3.1504326
2018-06-01,3.151586
2018-07-01,3.1619573
2018-08-01,3.1487925
2018-09-01,3.154251
2018-10-01,3.139326
2018-11-01,3.1525538
2018-12-01,3.1347184
2019-01-01,3.131925
2019-02-01,3.1506338
