dateISO,price
2008-11-01,0.9369291
2008-12-01,0.9452985
2009-01-01,0.9241791
2009-02-01,0.9578572
2009-03-01,0.9661667
2009-04-01,0.956
2009-05-01,0.9670635
2009-06-01,0.98636365
2009-07-01,0.96944
2009-08-01,0.95852715
2009-09-01,0.96862596
2009-10-01,0.943985
2009-11-01,0.9494615
2009-12-01,0.9509702
2010-01-01,0.92274076
2010-02-01,0.8892248
2010-03-01,0.92488545
2010-04-01,0.9168504
2010-05-01,0.9484252
2010-06-01,0.9377692
2010-07-01,0.92477274
2010-08-01,0.94792306
2010-09-01,0.95416
2010-10-01,0.9582089
2010-11-01,0.95717555
2010-12-01,0.9787591
2011-01-01,0.96546876
2011-02-01,1.0009756
2011-03-01,1.0084733
2011-04-01,1.0029008
2011-05-01,1.0121804
2011-06-01,1.0346564
2011-07-01,1.0386155
2011-08-01,1.0533847
2011-09-01,1.0282353
2011-10-01,1.0377693
2011-11-01,1.0633333
2011-12-01,1.0572656
2012-01-01,1.0126667
2012-02-01,1.0159092
2012-03-01,1.0606569
2012-04-01,1.0449243
2012-05-01,1.0294929
2012-06-01,1.0391241
2012-07-01,1.0497761
2012-08-01,1.0491729
2012-09-01,1.0628788
2012-10-01,1.0472993
2012-11-01,1.0827273
2012-12-01,1.0768657
2013-01-01,1.0677273
2013-02-01,1.0185827
2013-03-01,1.0053384
2013-04-01,1.0365248
2013-05-01,1.0384172
2013-06-01,1.0315329
2013-07-01,1.0228682
2013-08-01,1.0390441
2013-09-01,1.0539259
2013-10-01,1.0652555
2013-11-01,1.0432812
2013-12-01,1.0426619
2014-01-01,1.050803
2014-02-01,1.0177692
2014-03-01,1.0474074
2014-04-01,1.0437595
2014-05-01,1.0191791
2014-06-01,1.0571533
2014-07-01,1.0662318
2014-08-01,1.0358088
2014-09-01,1.0548873
2014-10-01,1.0265694
2014-11-01,1.0334375
2014-12-01,1.0632331
2015-01-01,1.0447016
2015-02-01,1.02984
2015-03-01,1.05375
2015-04-01,1.0830535
2015-05-01,1.0562698
2015-06-01,1.0360317
2015-07-01,1.0298518
2015-08-01,1.039697
2015-09-01,1.039416
2015-10-01,1.0247445
2015-11-01,1.0319117
2015-12-01,1.0346377
2016-01-01,1.0283823
2016-02-01,1.049394
2016-03-01,1.0399286
2016-04-01,1.0307857
2016-05-01,1.0133088
2016-06-01,1.0184138
2016-07-01,1.0170922
2016-08-01,1.0410417
2016-09-01,1.0359999
2016-10-01,1.0328275
2016-11-01,1.0235507
2016-12-01,1.0313768
2017-01-01,1.0152857
2017-02-01,0.959771
2017-03-01,0.95221424
2017-04-01,0.9460714
2017-05-01,0.9451678
2017-06-01,0.93971217
2017-07-01,0.97232556
2017-08-01,0.9696504
2017-09-01,0.986993
2017-10-01,0.9491096
2017-11-01,0.9832857
2017-12-01,0.9824638
2018-01-01,0.97850007
2018-02-01,0.94949275
2018-03-01,0.9492958
2018-04-01,0.951338
2018-05-01,0.9492087
2018-06-01,0.9621324
2018-07-01,0.93822217
2018-08-01,0.94084513
2018-09-01,0.95548606
2018-10-01,0.96978265
2018-11-01,0.9434028
2018-12-01,0.9579021
2019-01-01,0.9716552
2019-02-01,0.96525925
2019-03-01,0.9822302
2019-04-01,1.0170423
2019-05-01,1.0346401
2019-06-01,0.9743165
2019-07-01,0.98510784
2019-08-01,0.9676923
2019-09-01,0.98917806
2019-10-01,0.99475527
2019-11-01,1.0070548
2019-12-01,1.0381539
2020-01-01,1.0137584
2020-02-01,0.98234487
2020-03-01,1.0176859
2020-04-01,0.85573167
2020-05-01,0.84452826
2020-06-01,0.8182204
2020-07-01,0.8309375
2020-08-01,0.96232
